id,transaction_time,card_token,merchant_address_country,cost_region,transaction_type,transaction_cost_type,transaction_personal_details_input,transaction_card_ownership_proof_method,state,decline_reason,amount_currency,amount_value,billing_amount_currency,billing_amount_value,interchange_currency,inter_change_fee,merchant_name,category
61150,2018-03-09 0:48:10,89b2d7ab-47fc-431a-86e0-1c8d2a2dbe1b,BG,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,BGN,100.00,GBP,45.70,GBP,-0.46,NAIDEN GEROV 15 NAIDEN,ZMemberFinancialInstitut
61154,2018-03-09 0:55:21,60655f4f-236e-4931-b282-8be435040bdd,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,USD,7.01,USD,7.01,USD,0.11,UBER   *TRIP CDGES,Limousines
61155,2018-03-09 0:55:58,2e267af2-f09a-49e9-abf0-48fb83a44265,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,8.00,GBP,8.00,GBP,0.02,Wombats City Hostel,LodgingHotelsMotelsResorts
61167,2018-03-09 1:25:50,8d192c45-5e92-4642-959e-bba1d95ed638,ES,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,5.00,EUR,5.00,EUR,0.01,LL BAR,DatingAndEscortServices
61168,2018-03-09 1:32:10,9cd22700-f878-482a-9fcc-28a473d8dff6,UN,Intra,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,USD,40.00,USD,40.00,USD,0.44,THAI BASIL,EatingPlacesRestaurants
61172,2018-03-09 1:38:04,8d192c45-5e92-4642-959e-bba1d95ed638,ES,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,5.00,EUR,5.00,EUR,0.01,LL BAR,DatingAndEscortServices
61191,2018-03-09 2:06:52,3a72aa1c-ae55-4b9c-9d57-54dbfe3d6b11,SI,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,15.60,EUR,15.60,EUR,0.03,PARLAMENT PUB,EatingPlacesRestaurants
61199,2018-03-09 2:18:51,d85a9663-34aa-4702-8f5a-fb871190d91c,UN,Intra,POS_PURCHASE,POS/ECOM,CHIP,NONE,SUCCESS,,USD,13.61,USD,13.61,USD,0.15,SPICE 6,EatingPlacesRestaurants
61205,2018-03-09 2:39:37,3a72aa1c-ae55-4b9c-9d57-54dbfe3d6b11,SI,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,15.60,EUR,15.60,EUR,0.03,PARLAMENT PUB,EatingPlacesRestaurants
61209,2018-03-09 2:46:31,60655f4f-236e-4931-b282-8be435040bdd,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,USD,7.08,USD,7.08,USD,0.11,UBER   *TRIP NSJSO,Limousines
61214,2018-03-09 2:51:22,3a72aa1c-ae55-4b9c-9d57-54dbfe3d6b11,SI,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,19.50,EUR,19.50,EUR,0.04,PARLAMENT PUB,EatingPlacesRestaurants
61226,2018-03-09 3:11:05,6650ebbe-5a09-422e-994f-4d61418f4523,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,NONE,SUCCESS,,GBP,4.50,GBP,4.50,GBP,0.01,TfL Travel Charge,TransportationSuburbanAndLoca
61240,2018-03-09 3:48:14,d3dd0799-2e78-4244-8bf1-700ad9027ba0,AU,Intra,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,AUD,6.60,GBP,3.72,GBP,0.04,2401WORTHS 1326,GroceryStoresSupermarkets
61244,2018-03-09 4:00:48,60655f4f-236e-4931-b282-8be435040bdd,UN,Intra,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,USD,33.00,USD,33.00,USD,0.36,THE BELLEVUE HOTEL F&B,EatingPlacesRestaurants
61247,2018-03-09 4:06:05,8d192c45-5e92-4642-959e-bba1d95ed638,ES,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,GBP,46.00,GBP,46.00,GBP,-0.50,BANKIA      1311,ZMemberFinancialInstitut
61250,2018-03-09 4:13:22,60655f4f-236e-4931-b282-8be435040bdd,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,USD,8.45,USD,8.45,USD,0.14,UBER   *TRIP XDBBI,Limousines
61294,2018-03-09 6:03:41,b1d84169-565f-4929-b073-4330b800cb97,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,33.00,EUR,33.00,EUR,0.07,NORDIC HOTELS FORUM RE,LodgingHotelsMotelsResorts
61299,2018-03-09 6:15:16,b1d84169-565f-4929-b073-4330b800cb97,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,5.50,EUR,5.50,EUR,0.01,GOURMET COFFEE.PARNU M,FastFoodRestaurants
61325,2018-03-09 6:54:51,6e0b9627-4d64-44cf-a133-41415f831713,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,3.89,GBP,3.89,GBP,0.01,MCDONALD'S,EatingPlacesRestaurants
61338,2018-03-09 7:13:21,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,10.02,EUR,10.02,EUR,0.02,UBER PYNK6 HELP.UBER.C,Limousines
61356,2018-03-09 7:36:18,f5fbcef1-900a-43d8-98d3-c29c9d1ff590,CZ,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,CZK,17.90,GBP,0.63,GBP,0.00,DM DROGERIE MARKT-401-,DrugStoresPharmacies
61378,2018-03-09 8:04:43,b7ec37d0-e6d0-4ed5-a8e2-d4d5972c80db,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,6.59,GBP,6.59,GBP,0.01,Shell Holloway Road,ServiceStationsWithOrWithou
61387,2018-03-09 8:10:10,f65af56e-0ead-4e18-bf35-78ebc8dc4361,GB,Domestic,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,CHF,100.00,CHF,100.00,CHF,0.20,Revolut*8702*,RFinancialInstitutionsMe
61390,2018-03-09 8:12:05,991b1fff-64c7-4985-96e5-ebb715efbda9,HU,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,HUF,690.00,GBP,1.98,GBP,0.00,KFC PIARIST,EatingPlacesRestaurants
61393,2018-03-09 8:13:24,ff3ac9f4-7aa2-4d05-bbf8-b838432f8a3b,LT,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.90,EUR,1.90,EUR,0.00,VERO CAFE J.BASANAVICI,EatingPlacesRestaurants
61395,2018-03-09 8:17:24,6e0b9627-4d64-44cf-a133-41415f831713,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,2.15,GBP,2.15,GBP,0.00,SAINSBURYS (2297),GroceryStoresSupermarkets
61419,2018-03-09 8:31:02,991b1fff-64c7-4985-96e5-ebb715efbda9,HU,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,HUF,"1,030.00",GBP,2.96,GBP,0.01,FORNETTI KFT.,Bakeries
61433,2018-03-09 8:40:55,9d528850-1015-47e1-828d-de4ffbf99d0f,GB,Domestic,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,GBP,238.24,GBP,238.24,GBP,0.48,West London Aero Club,FuelDealersCoalFuelOilLiq
61439,2018-03-09 8:44:29,9d528850-1015-47e1-828d-de4ffbf99d0f,GB,Domestic,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,GBP,228.77,GBP,228.77,GBP,0.46,West London Aero Club,FuelDealersCoalFuelOilLiq
61477,2018-03-09 9:07:16,8c0b0603-12a6-47b5-82fa-3ffa87a0b88c,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,2.30,GBP,2.30,GBP,0.00,SUBWAY,EatingPlacesRestaurants
61507,2018-03-09 9:29:44,deb90194-cf37-4c5f-b96b-3a0dae9d4f2d,PT,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,"1,900.00",EUR,"1,900.00",EUR,3.80,BCM - BRICOLAGE S.A.,MiscellaneousHouseFurnishingS
61510,2018-03-09 9:30:46,63f07569-e572-4cf2-9895-9b3460c2e6d0,IT,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,24.53,EUR,24.53,EUR,0.05,STAZ API 41797 VITALI,ServiceStationsWithOrWithou
61520,2018-03-09 9:34:59,adb3c184-33e3-4a47-8493-78cc117a9c85,SE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,SEK,98.00,GBP,8.60,GBP,0.02,WAYNES COFFEE,FastFoodRestaurants
61542,2018-03-09 9:47:51,96d147b7-e4bb-46ab-84d5-659a4597bfe6,ID,Intra,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,IDR,"208,481.00",GBP,10.97,GBP,0.12,THE FOODHALL SUNSET PO,GroceryStoresSupermarkets
61558,2018-03-09 9:53:49,9b329e03-eb1d-4194-a672-f708a44742c4,SK,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,40.00,EUR,40.00,EUR,-0.55,CSOB Laurinska Bratisl,ZMemberFinancialInstitut
61572,2018-03-09 9:59:49,2fea7838-ead6-4fcf-9c52-28f07e3cc659,DE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,154.00,EUR,154.00,EUR,0.31,FITNESS FIRST GERMANY,MiscellaneousFoodStoresConven
61587,2018-03-09 10:08:50,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
61629,2018-03-09 10:36:48,6fc2a097-de37-461a-abc8-d855e86db62b,GB,Domestic,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,168.00,EUR,168.00,EUR,0.34,B A INTERNET SALES,BritishAirwaysBritishA
61633,2018-03-09 10:39:24,7e76d9f6-67cc-467a-8430-4d791ccdeab1,FR,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,36.40,EUR,36.40,EUR,0.07,FISTALIA,GroceryStoresSupermarkets
61648,2018-03-09 10:46:40,deb90194-cf37-4c5f-b96b-3a0dae9d4f2d,PT,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,78.84,EUR,78.84,EUR,0.16,BRICO DEPOT SIN,HardwareStores
61660,2018-03-09 10:53:47,7c8b79e0-ac54-4f0e-9718-f503b07d6dbd,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,NONE,SUCCESS,,GBP,11.55,GBP,11.55,GBP,0.02,Bun Boys Ltd,EatingPlacesRestaurants
61662,2018-03-09 10:55:19,2fb13cb3-825b-4526-a68a-c329e662da7c,SG,Intra,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,SGD,29.19,GBP,16.10,GBP,0.18,PREMIER TAXIS,Limousines
61666,2018-03-09 10:58:00,b1d84169-565f-4929-b073-4330b800cb97,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,20.80,EUR,20.80,EUR,0.04,GOTSU.PARNU MNT 62A,EatingPlacesRestaurants
61670,2018-03-09 10:59:11,adb3c184-33e3-4a47-8493-78cc117a9c85,SE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,SEK,230.00,GBP,20.19,GBP,0.04,TL i Linkoping AB,EatingPlacesRestaurants
61676,2018-03-09 11:03:32,2bd2b6fa-fae1-45dc-a31b-2d77a58f5948,ES,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,20.00,EUR,20.00,EUR,-0.52,BANCO POPULAR,ZMemberFinancialInstitut
61680,2018-03-09 11:05:12,7e76d9f6-67cc-467a-8430-4d791ccdeab1,FR,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,29.62,EUR,29.62,EUR,0.06,FISTALIA,GroceryStoresSupermarkets
61685,2018-03-09 11:06:51,b3633b50-b807-49f8-bf5d-3ceddb6922a3,HU,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,HUF,790.00,GBP,2.27,GBP,0.00,CHEFPARADE FO ZO ISKOL,EatingPlacesRestaurants
61713,2018-03-09 11:16:32,ef5d422f-6619-44f4-8377-aa6260040cf6,NL,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,3.69,EUR,3.69,EUR,0.01,Albert Heijn 1001,GroceryStoresSupermarkets
61718,2018-03-09 11:18:12,8e8a112b-ac14-4a20-8deb-39e0965a0c45,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,5.80,EUR,5.80,EUR,0.01,PLATZ  RESTORAN.ROSENI,EatingPlacesRestaurants
61725,2018-03-09 11:20:26,ef5d422f-6619-44f4-8377-aa6260040cf6,NL,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,7.50,EUR,7.50,EUR,0.02,GVB EXPLOITATIE B.V.,TransportationServicesNotElse
61728,2018-03-09 11:22:06,4cdf260b-1ecc-4802-9d8f-6e131deeaa8d,SE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,SEK,99.00,GBP,8.69,GBP,0.02,RASIA RESTAURANT,EatingPlacesRestaurants
61749,2018-03-09 11:29:08,ff3ac9f4-7aa2-4d05-bbf8-b838432f8a3b,LT,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,2.09,EUR,2.09,EUR,0.00,CIRCLE K UTENA II,ServiceStationsWithOrWithou
61779,2018-03-09 11:42:41,162987a0-808f-4ece-ac3b-4f1ac8cfc1e8,FR,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,10.00,EUR,10.00,EUR,0.02,SARL HP AUTOCHAM,AutomotiveServiceShops
61815,2018-03-09 11:59:14,2a5c6bd9-262c-443c-823b-4c5b832fd528,IT,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,50.38,EUR,50.38,EUR,0.10,BENNET SPA,GroceryStoresSupermarkets
61816,2018-03-09 11:59:49,aeb285c6-d4e1-4fdb-bf3e-f84d3db4659a,ES,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,40.00,EUR,40.00,EUR,-0.55,CAJA DE AH Y PENSIONES,ZMemberFinancialInstitut
61821,2018-03-09 12:03:00,9d528850-1015-47e1-828d-de4ffbf99d0f,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,5.00,GBP,5.00,GBP,0.01,FLYING FOOD LTD,BarsCocktailLoungesDiscothe
61830,2018-03-09 12:11:04,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.80,EUR,4.80,EUR,0.01,LEGEND PUB.TARTU MNT 1,BarsCocktailLoungesDiscothe
61845,2018-03-09 12:17:22,b1d84169-565f-4929-b073-4330b800cb97,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,4.95,EUR,4.95,EUR,0.01,UBER NMT4O HELP.UBER.C,Limousines
61859,2018-03-09 12:23:01,b7ec37d0-e6d0-4ed5-a8e2-d4d5972c80db,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,6.50,GBP,6.50,GBP,0.01,KENNEDYS OF LONDON,EatingPlacesRestaurants
61868,2018-03-09 12:27:49,b6a5d8fe-d6fc-4e4b-96bd-6c6407913398,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,FAIL,CARD_INACTIVE,USD,0.00,,,,,DUOLINGO INC,ComputerSoftwareStores
61869,2018-03-09 12:27:51,b6a5d8fe-d6fc-4e4b-96bd-6c6407913398,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,FAIL,CARD_INACTIVE,USD,1.00,,,,,DUOLINGO INC,ComputerSoftwareStores
61893,2018-03-09 12:34:50,37671b0a-bc88-46e3-8a97-26c6fee7e564,DE,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,50.00,EUR,50.00,EUR,-0.56,MITTELBRANDENBURGISCHE,ZMemberFinancialInstitut
61894,2018-03-09 12:35:12,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,NONE,SUCCESS,,GBP,3.00,GBP,3.00,GBP,0.01,IZ *Allpress Espresso,EatingPlacesRestaurants
61905,2018-03-09 12:41:14,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,FAIL,INSUFFICIENT_FUNDS,EUR,100.00,,,,,CIRCLE K SUTISTE,FuelDispenserAutomated
61907,2018-03-09 12:43:10,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,15.01,EUR,15.01,EUR,0.03,CIRCLE K SUTISTE,ServiceStationsWithOrWithou
61912,2018-03-09 12:45:45,707d7034-10b9-45a7-b7d7-f985b385b551,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,USD,15.76,USD,15.76,USD,0.25,NAME-CHEAP COM,ComputerProgrammingDataProce
61921,2018-03-09 12:48:10,d3b5bfb6-e450-4051-8a33-5725364fe57f,PT,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,10.00,EUR,10.00,EUR,-0.51,Restaurante Parque Ve,ZMemberFinancialInstitut
61922,2018-03-09 12:49:26,7c8b79e0-ac54-4f0e-9718-f503b07d6dbd,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,7.24,GBP,7.24,GBP,0.01,PRET A MANGER,EatingPlacesRestaurants
61933,2018-03-09 12:54:03,6650ebbe-5a09-422e-994f-4d61418f4523,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,NONE,SUCCESS,,GBP,20.87,GBP,20.87,GBP,0.04,VILLAGE FOOD CENTRE,GroceryStoresSupermarkets
61942,2018-03-09 12:58:15,707d7034-10b9-45a7-b7d7-f985b385b551,UN,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,USD,15.76,USD,15.76,USD,0.25,NAME-CHEAP COM,ComputerProgrammingDataProce
61947,2018-03-09 12:59:42,bdbeea0e-4fbd-47a9-8478-00e8b7dc8085,FI,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,EUR,240.00,EUR,240.00,EUR,-0.79,ALEKSANTERINKATU 52,ZMemberFinancialInstitut
61957,2018-03-09 13:04:57,32f621ff-6d44-479e-8c01-877b587ab588,HU,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,HUF,"2,640.00",GBP,7.58,GBP,0.02,CULINARIS,MiscellaneousFoodStoresConven
61965,2018-03-09 13:08:19,ecc50f7a-6b54-413b-971b-fbb0b5f34efe,LU,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,GBP,1.00,GBP,1.00,GBP,0.00,PP*7613CODE,ProfessionalServicesNotElsewh
61994,2018-03-09 13:22:16,bdbeea0e-4fbd-47a9-8478-00e8b7dc8085,FI,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,49.00,EUR,49.00,EUR,0.10,TALLINK SILJA O,CruiseLines
61998,2018-03-09 13:23:51,59173dd5-f8d8-4234-affa-264dabe20a7c,GR,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,12.90,EUR,12.90,EUR,0.03,KATSOUNAS GRILL,EatingPlacesRestaurants
62005,2018-03-09 13:30:14,7b018270-2bcb-41c2-a951-573dccd866f2,PL,Inter,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,PLN,200.00,PLN,200.00,PLN,-2.34,02906 1045W2050C,ZMemberFinancialInstitut
62009,2018-03-09 13:31:08,e96e21b7-c41b-408b-a1ad-a868ba6d7bd1,DE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,15.00,EUR,15.00,EUR,0.03,Sporth. Schuster GmbH,SportsApparelRidingApparelS
62011,2018-03-09 13:32:59,ed39695c-a026-42ce-865d-8062a56ec18b,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,17.42,GBP,17.42,GBP,0.03,PATTY AND BUN REDCHURC,FastFoodRestaurants
62013,2018-03-09 13:34:21,2bd2b6fa-fae1-45dc-a31b-2d77a58f5948,ES,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,13.63,EUR,13.63,EUR,0.03,MERCADONA ARROYO EN ME,GroceryStoresSupermarkets
62048,2018-03-09 13:51:31,ed39695c-a026-42ce-865d-8062a56ec18b,GB,Domestic,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,GBP,40.00,GBP,40.00,GBP,-0.18,TESCO SDTCH HS EXP,ZMemberFinancialInstitut
62067,2018-03-09 13:58:12,8697ffa1-9bba-4ccd-a0a2-a556f5477353,FR,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,NONE,SUCCESS,,EUR,19.90,EUR,19.90,EUR,0.04,BRIOCHE DOREESC,EatingPlacesRestaurants
62079,2018-03-09 14:06:55,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,11.20,EUR,11.20,EUR,0.02,PAAVLI KALTSUKAS,SecondHandStoresUsedMerchan
62093,2018-03-09 14:13:56,60655f4f-236e-4931-b282-8be435040bdd,UN,Intra,POS_PURCHASE,POS/ECOM,STRIPE,UNKNOWN,SUCCESS,,USD,33.00,USD,33.00,USD,0.36,FOUR POINTS BY SHERATO,EatingPlacesRestaurants
62110,2018-03-09 14:23:38,9d528850-1015-47e1-828d-de4ffbf99d0f,GB,Domestic,POS_PURCHASE,POS/ECOM,MANUAL,PIN,SUCCESS,,GBP,33.24,GBP,33.24,GBP,0.07,BIGGIN HILL AIRPORT LT,AirportsAirportTerminalsFly
62112,2018-03-09 14:23:40,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,7.00,EUR,7.00,EUR,0.01,UULITS TANAVAGURM.KOPL,FastFoodRestaurants
62113,2018-03-09 14:23:51,ef96da01-e506-41cc-9f30-b81b856d0501,GB,Domestic,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,GBP,35.00,GBP,35.00,GBP,0.07,ALL BAR ONE SUTTON,EatingPlacesRestaurants
62126,2018-03-09 14:28:50,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,1.78,EUR,1.78,EUR,0.00,BALTI-JAAMA TURU ISETE,GroceryStoresSupermarkets
62129,2018-03-09 14:30:04,ef96da01-e506-41cc-9f30-b81b856d0501,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,17.90,GBP,17.90,GBP,0.04,EMPIRE CINEMAS,TheatricalProducersExceptMot
62194,2018-03-09 14:40:23,59173dd5-f8d8-4234-affa-264dabe20a7c,GR,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,15.00,EUR,15.00,EUR,0.03,MARMARAS MAGGARINODOY,FreezerLockerMeatProvisioner
62196,2018-03-09 14:40:40,7cd90f8b-548f-4a4d-8469-dcd03fcf5b8a,DE,Inter,POS_PURCHASE,POS/ECOM,CHIP,NONE,SUCCESS,,EUR,29.10,EUR,29.10,EUR,0.06,Sushi Nr. 1,EatingPlacesRestaurants
62199,2018-03-09 14:42:30,bdbeea0e-4fbd-47a9-8478-00e8b7dc8085,FI,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,6.50,EUR,6.50,EUR,0.01,Megastar,CruiseLines
62214,2018-03-09 14:51:14,dedbc355-7dec-4640-82ad-9d23ecff26bb,GB,Domestic,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,GBP,2.00,GBP,2.00,GBP,0.00,SumUp  *Ratio F&B Limi,EatingPlacesRestaurants
62257,2018-03-09 15:14:12,ccaab19c-1733-44fb-af45-dea324aced03,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,11.44,GBP,11.44,GBP,0.02,HOLLAND AND BARRETT,RMiscellaneousAndSpecial
62265,2018-03-09 15:16:07,ccaab19c-1733-44fb-af45-dea324aced03,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,6.99,GBP,6.99,GBP,0.01,BOOTS 2014,DrugStoresPharmacies
62273,2018-03-09 15:18:01,420b5ffa-7940-41bc-8b0e-894db309b736,GB,Domestic,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,43.28,EUR,43.28,EUR,0.09,easyJet,MigratedMcc
62278,2018-03-09 15:19:02,a11934ca-804e-459b-aef5-8168c91b6d33,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,6.50,EUR,6.50,EUR,0.01,LUSH,CosmeticStores
62304,2018-03-09 15:24:30,42ae1691-6916-4b6a-accf-149198af19e0,AT,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,4.80,EUR,4.80,EUR,0.01,ADLK.IO,ComputerProgrammingDataProce
62305,2018-03-09 15:24:41,6bc5f512-ea6c-4ecd-a4fd-602dfadf7c5f,HU,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,HUF,"3,240.00",GBP,9.30,GBP,0.02,MCDHU00018,FastFoodRestaurants
62310,2018-03-09 15:26:19,3a72aa1c-ae55-4b9c-9d57-54dbfe3d6b11,SI,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.40,EUR,1.40,EUR,0.00,TOZD - HENIGMAN ROB,EatingPlacesRestaurants
62311,2018-03-09 15:27:05,ccfd1ad9-c242-42ad-ada4-e347ad76b275,GB,Domestic,CASH_WITHDRAWAL,ATM,CHIP,PIN,SUCCESS,,GBP,150.00,GBP,150.00,GBP,-0.21,ASDA SHOEB'NESS1,ZMemberFinancialInstitut
62313,2018-03-09 15:28:19,6fc2a097-de37-461a-abc8-d855e86db62b,FR,Inter,POS_PURCHASE,POS/ECOM,STRIPE,NONE,SUCCESS,,EUR,1.90,EUR,1.90,EUR,0.00,APRR,BridgeAndRoadFeesTolls
